sentence,first_noun,verb,second_noun,number
imali ithenga imali enye,imali,ithenga,imali,1
imali ithenga ijikijolo elinye,imali,ithenga,ijikijolo,1
imali ithenga inyoni enye,imali,ithenga,inyoni,1
imali ithenga ibhishi elinye,imali,ithenga,ibhishi,1
imali ithenga izwe elinye,imali,ithenga,izwe,1
imali ithenga isakhiwo esinye,imali,ithenga,isakhiwo,1
imali ithenga umnini onye,imali,ithenga,umnini,1
imali ithenga unyawo olunye,imali,ithenga,unyawo,1
imali ithenga izambane elinye,imali,ithenga,izambane,1
imali ithenga iNkosi enye,imali,ithenga,iNkosi,1
imali ithenga ibhola elinye,imali,ithenga,ibhola,1
imali ithenga umzila onye,imali,ithenga,umzila,1
imali ithenga isicathulo esinye,imali,ithenga,isicathulo,1
imali ithenga ihholitshi elinye,imali,ithenga,ihholitshi,1
imali ithenga isihlahla esinye,imali,ithenga,isihlahla,1
imali ithenga ihhotela elinye,imali,ithenga,ihhotela,1
imali ithenga ihebhivo elinye,imali,ithenga,ihebhivo,1
imali ithenga umuthi onye,imali,ithenga,umuthi,1
imali ithenga igilebhisi elinye,imali,ithenga,igilebhisi,1
imali ithenga isikukhukhula esinye,imali,ithenga,isikukhukhula,1
imali ithenga inyuvesi enye,imali,ithenga,inyuvesi,1
imali ithenga inja enye,imali,ithenga,inja,1
imali ithenga iphoyisa elinye,imali,ithenga,iphoyisa,1
imali ithenga umkhandlu onye,imali,ithenga,umkhandlu,1
imali ithenga iwayini elinye,imali,ithenga,iwayini,1
imali ithenga uphawu olunye,imali,ithenga,uphawu,1
imali ithenga indawo yokubhukuda enye,imali,ithenga,indawo yokubhukuda,1
imali ithenga ikhompyutha elinye,imali,ithenga,ikhompyutha,1
imali ithenga isikhulumi esinye,imali,ithenga,isikhulumi,1
imali ithenga inyama enye,imali,ithenga,inyama,1
imali ithenga udokotela onye,imali,ithenga,udokotela,1
imali ithenga indlovu enye,imali,ithenga,indlovu,1
imali ithenga inkampani enye,imali,ithenga,inkampani,1
imali ithenga inkukhu enye,imali,ithenga,inkukhu,1
imali ithenga umlamuleli onye,imali,ithenga,umlamuleli,1
imali ithenga isidlo esinye,imali,ithenga,isidlo,1
imali ithenga umfundi we-undergraduate onye,imali,ithenga,umfundi we-undergraduate,1
imali ithenga ipayipi elinye,imali,ithenga,ipayipi,1
imali ithenga umfundisi onye,imali,ithenga,umfundisi,1
imali ithenga ibhodwe elinye,imali,ithenga,ibhodwe,1
imali ithenga iphalamende elinye,imali,ithenga,iphalamende,1
imali ithenga iholidi elinye,imali,ithenga,iholidi,1
imali ithenga indaba enye,imali,ithenga,indaba,1
imali ithenga ufishi onye,imali,ithenga,ufishi,1
imali ithenga ithoyizi elinye,imali,ithenga,ithoyizi,1
imali ithenga umfula onye,imali,ithenga,umfula,1
imali ithenga ukhilimu oyiqhwa onye,imali,ithenga,ukhilimu oyiqhwa,1
imali ithenga ibhokisi elinye,imali,ithenga,ibhokisi,1
imali ithenga isitambu esinye,imali,ithenga,isitambu,1
imali ithenga umsebenzi onye,imali,ithenga,umsebenzi,1
imali ithenga umgodi onye,imali,ithenga,umgodi,1
imali ithenga ihlo elinye,imali,ithenga,ihlo,1
imali ithenga insimu enye,imali,ithenga,insimu,1
imali ithenga isifunda esinye,imali,ithenga,isifunda,1
imali ithenga udonga onye,imali,ithenga,udonga,1
imali ithenga itiye elinye,imali,ithenga,itiye,1
imali ithenga ibhodlela elinye,imali,ithenga,ibhodlela,1
imali ithenga ukhiye onye,imali,ithenga,ukhiye,1
imali ithenga inkantini enye,imali,ithenga,inkantini,1
imali ithenga isisu esinye,imali,ithenga,isisu,1
imali ithenga uphaya onye,imali,ithenga,uphaya,1
imali ithenga intaba enye,imali,ithenga,intaba,1
imali ithenga umengammeli onye,imali,ithenga,umengammeli,1
imali ithenga umhlaba onye,imali,ithenga,umhlaba,1
imali ithenga ibhanoyi elinye,imali,ithenga,ibhanoyi,1
imali ithenga incwadi enye,imali,ithenga,incwadi,1
imali ithenga isitshalo esinye,imali,ithenga,isitshalo,1
imali ithenga unesi onye,imali,ithenga,unesi,1
imali ithenga isithwebuli esinye,imali,ithenga,isithwebuli,1
imali ithenga isilwane esifuyiweyo esinye,imali,ithenga,isilwane esifuyiweyo,1
imali ithenga igumbi elinye,imali,ithenga,igumbi,1
imali ithenga iwindi elinye,imali,ithenga,iwindi,1
imali ithenga ulwandle olunye,imali,ithenga,ulwandle,1
imali ithenga ummeli onye,imali,ithenga,ummeli,1
imali ithenga umphakathi onye,imali,ithenga,umphakathi,1
imali ithenga ikomidi elinye,imali,ithenga,ikomidi,1
imali ithenga indlwana enye,imali,ithenga,indlwana,1
imali ithenga iphilisi elinye,imali,ithenga,iphilisi,1
imali ithenga uhlaza olunye,imali,ithenga,uhlaza,1
imali ithenga imoto enye,imali,ithenga,imoto,1
ijikijolo lithenga imali enye,ijikijolo,lithenga,imali,1
ijikijolo lithenga ijikijolo elinye,ijikijolo,lithenga,ijikijolo,1
ijikijolo lithenga inyoni enye,ijikijolo,lithenga,inyoni,1
ijikijolo lithenga ibhishi elinye,ijikijolo,lithenga,ibhishi,1
ijikijolo lithenga izwe elinye,ijikijolo,lithenga,izwe,1
ijikijolo lithenga isakhiwo esinye,ijikijolo,lithenga,isakhiwo,1
ijikijolo lithenga umnini onye,ijikijolo,lithenga,umnini,1
ijikijolo lithenga unyawo olunye,ijikijolo,lithenga,unyawo,1
ijikijolo lithenga izambane elinye,ijikijolo,lithenga,izambane,1
ijikijolo lithenga iNkosi enye,ijikijolo,lithenga,iNkosi,1
ijikijolo lithenga ibhola elinye,ijikijolo,lithenga,ibhola,1
ijikijolo lithenga umzila onye,ijikijolo,lithenga,umzila,1
ijikijolo lithenga isicathulo esinye,ijikijolo,lithenga,isicathulo,1
ijikijolo lithenga ihholitshi elinye,ijikijolo,lithenga,ihholitshi,1
ijikijolo lithenga isihlahla esinye,ijikijolo,lithenga,isihlahla,1
ijikijolo lithenga ihhotela elinye,ijikijolo,lithenga,ihhotela,1
ijikijolo lithenga ihebhivo elinye,ijikijolo,lithenga,ihebhivo,1
ijikijolo lithenga umuthi onye,ijikijolo,lithenga,umuthi,1
ijikijolo lithenga igilebhisi elinye,ijikijolo,lithenga,igilebhisi,1
ijikijolo lithenga isikukhukhula esinye,ijikijolo,lithenga,isikukhukhula,1
ijikijolo lithenga inyuvesi enye,ijikijolo,lithenga,inyuvesi,1
ijikijolo lithenga inja enye,ijikijolo,lithenga,inja,1
ijikijolo lithenga iphoyisa elinye,ijikijolo,lithenga,iphoyisa,1
ijikijolo lithenga umkhandlu onye,ijikijolo,lithenga,umkhandlu,1
ijikijolo lithenga iwayini elinye,ijikijolo,lithenga,iwayini,1
ijikijolo lithenga uphawu olunye,ijikijolo,lithenga,uphawu,1
ijikijolo lithenga indawo yokubhukuda enye,ijikijolo,lithenga,indawo yokubhukuda,1
ijikijolo lithenga ikhompyutha elinye,ijikijolo,lithenga,ikhompyutha,1
ijikijolo lithenga isikhulumi esinye,ijikijolo,lithenga,isikhulumi,1
ijikijolo lithenga inyama enye,ijikijolo,lithenga,inyama,1
ijikijolo lithenga udokotela onye,ijikijolo,lithenga,udokotela,1
ijikijolo lithenga indlovu enye,ijikijolo,lithenga,indlovu,1
ijikijolo lithenga inkampani enye,ijikijolo,lithenga,inkampani,1
ijikijolo lithenga inkukhu enye,ijikijolo,lithenga,inkukhu,1
ijikijolo lithenga umlamuleli onye,ijikijolo,lithenga,umlamuleli,1
ijikijolo lithenga isidlo esinye,ijikijolo,lithenga,isidlo,1
ijikijolo lithenga umfundi we-undergraduate onye,ijikijolo,lithenga,umfundi we-undergraduate,1
ijikijolo lithenga ipayipi elinye,ijikijolo,lithenga,ipayipi,1
ijikijolo lithenga umfundisi onye,ijikijolo,lithenga,umfundisi,1
ijikijolo lithenga ibhodwe elinye,ijikijolo,lithenga,ibhodwe,1
ijikijolo lithenga iphalamende elinye,ijikijolo,lithenga,iphalamende,1
ijikijolo lithenga iholidi elinye,ijikijolo,lithenga,iholidi,1
ijikijolo lithenga indaba enye,ijikijolo,lithenga,indaba,1
ijikijolo lithenga ufishi onye,ijikijolo,lithenga,ufishi,1
ijikijolo lithenga ithoyizi elinye,ijikijolo,lithenga,ithoyizi,1
ijikijolo lithenga umfula onye,ijikijolo,lithenga,umfula,1
ijikijolo lithenga ukhilimu oyiqhwa onye,ijikijolo,lithenga,ukhilimu oyiqhwa,1
ijikijolo lithenga ibhokisi elinye,ijikijolo,lithenga,ibhokisi,1
ijikijolo lithenga isitambu esinye,ijikijolo,lithenga,isitambu,1
ijikijolo lithenga umsebenzi onye,ijikijolo,lithenga,umsebenzi,1
ijikijolo lithenga umgodi onye,ijikijolo,lithenga,umgodi,1
ijikijolo lithenga ihlo elinye,ijikijolo,lithenga,ihlo,1
ijikijolo lithenga insimu enye,ijikijolo,lithenga,insimu,1
ijikijolo lithenga isifunda esinye,ijikijolo,lithenga,isifunda,1
ijikijolo lithenga udonga onye,ijikijolo,lithenga,udonga,1
ijikijolo lithenga itiye elinye,ijikijolo,lithenga,itiye,1
ijikijolo lithenga ibhodlela elinye,ijikijolo,lithenga,ibhodlela,1
ijikijolo lithenga ukhiye onye,ijikijolo,lithenga,ukhiye,1
ijikijolo lithenga inkantini enye,ijikijolo,lithenga,inkantini,1
ijikijolo lithenga isisu esinye,ijikijolo,lithenga,isisu,1
ijikijolo lithenga uphaya onye,ijikijolo,lithenga,uphaya,1
ijikijolo lithenga intaba enye,ijikijolo,lithenga,intaba,1
ijikijolo lithenga umengammeli onye,ijikijolo,lithenga,umengammeli,1
ijikijolo lithenga umhlaba onye,ijikijolo,lithenga,umhlaba,1
ijikijolo lithenga ibhanoyi elinye,ijikijolo,lithenga,ibhanoyi,1
ijikijolo lithenga incwadi enye,ijikijolo,lithenga,incwadi,1
ijikijolo lithenga isitshalo esinye,ijikijolo,lithenga,isitshalo,1
ijikijolo lithenga unesi onye,ijikijolo,lithenga,unesi,1
ijikijolo lithenga isithwebuli esinye,ijikijolo,lithenga,isithwebuli,1
ijikijolo lithenga isilwane esifuyiweyo esinye,ijikijolo,lithenga,isilwane esifuyiweyo,1
ijikijolo lithenga igumbi elinye,ijikijolo,lithenga,igumbi,1
ijikijolo lithenga iwindi elinye,ijikijolo,lithenga,iwindi,1
ijikijolo lithenga ulwandle olunye,ijikijolo,lithenga,ulwandle,1
ijikijolo lithenga ummeli onye,ijikijolo,lithenga,ummeli,1
ijikijolo lithenga umphakathi onye,ijikijolo,lithenga,umphakathi,1
ijikijolo lithenga ikomidi elinye,ijikijolo,lithenga,ikomidi,1
ijikijolo lithenga indlwana enye,ijikijolo,lithenga,indlwana,1
ijikijolo lithenga iphilisi elinye,ijikijolo,lithenga,iphilisi,1
ijikijolo lithenga uhlaza olunye,ijikijolo,lithenga,uhlaza,1
ijikijolo lithenga imoto enye,ijikijolo,lithenga,imoto,1
inyoni ithenga imali enye,inyoni,ithenga,imali,1
inyoni ithenga ijikijolo elinye,inyoni,ithenga,ijikijolo,1
inyoni ithenga inyoni enye,inyoni,ithenga,inyoni,1
inyoni ithenga ibhishi elinye,inyoni,ithenga,ibhishi,1
inyoni ithenga izwe elinye,inyoni,ithenga,izwe,1
inyoni ithenga isakhiwo esinye,inyoni,ithenga,isakhiwo,1
inyoni ithenga umnini onye,inyoni,ithenga,umnini,1
inyoni ithenga unyawo olunye,inyoni,ithenga,unyawo,1
inyoni ithenga izambane elinye,inyoni,ithenga,izambane,1
inyoni ithenga iNkosi enye,inyoni,ithenga,iNkosi,1
inyoni ithenga ibhola elinye,inyoni,ithenga,ibhola,1
inyoni ithenga umzila onye,inyoni,ithenga,umzila,1
inyoni ithenga isicathulo esinye,inyoni,ithenga,isicathulo,1
inyoni ithenga ihholitshi elinye,inyoni,ithenga,ihholitshi,1
inyoni ithenga isihlahla esinye,inyoni,ithenga,isihlahla,1
inyoni ithenga ihhotela elinye,inyoni,ithenga,ihhotela,1
inyoni ithenga ihebhivo elinye,inyoni,ithenga,ihebhivo,1
inyoni ithenga umuthi onye,inyoni,ithenga,umuthi,1
inyoni ithenga igilebhisi elinye,inyoni,ithenga,igilebhisi,1
inyoni ithenga isikukhukhula esinye,inyoni,ithenga,isikukhukhula,1
inyoni ithenga inyuvesi enye,inyoni,ithenga,inyuvesi,1
inyoni ithenga inja enye,inyoni,ithenga,inja,1
inyoni ithenga iphoyisa elinye,inyoni,ithenga,iphoyisa,1
inyoni ithenga umkhandlu onye,inyoni,ithenga,umkhandlu,1
inyoni ithenga iwayini elinye,inyoni,ithenga,iwayini,1
inyoni ithenga uphawu olunye,inyoni,ithenga,uphawu,1
inyoni ithenga indawo yokubhukuda enye,inyoni,ithenga,indawo yokubhukuda,1
inyoni ithenga ikhompyutha elinye,inyoni,ithenga,ikhompyutha,1
inyoni ithenga isikhulumi esinye,inyoni,ithenga,isikhulumi,1
inyoni ithenga inyama enye,inyoni,ithenga,inyama,1
inyoni ithenga udokotela onye,inyoni,ithenga,udokotela,1
